job_id,job_title,job_tags,company_address,company_name,company_size,min_salary,max_salary,experiences,industries,languages,frameworks
1172298,Lập Trình Viên Nodejs,,Hà Nội,Công Ty Cổ Phần IGB,25-99 nhân viên,,,3,Web-Back,"JS,PHP","NodeJS,ReactJS,VueJS"
906374,Kỹ Sư Điện & Tự Động Hóa,"AutoCAD, Javascript, ",Hà Nội,MetaHaus,10-24 nhân viên,10,16,,,,
1308626,Nhân Viên Vận Hành Ứng Dụng,,Hà Nội,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),1000+ nhân viên,,,,,,
1397256,IT Support,"IT Helpdesk, System Admin, MCSA, CCNA, Intermedidate English, IT Support, System Administrator",Hồ Chí Minh,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,500-1000 nhân viên,,,1,Helpdesk,,
1165042,Fresher Java Developer,"Java, Spring, Spring Framework, Spring Boot, English, code java",Hà Nội,Công ty TNHH SETA international Việt Nam,100-499 nhân viên,,,,Web-Back,"Java,JS","SpringBoot,NodeJS"
870581,Unity Developer,"C#, Unity 3D, ",Hà Nội,XGame,25-99 nhân viên,,40,1,GD,"C#,Java",Unity
1397060,Thực Tập Sinh Content Marketing,"SEO, Viết Bài, Content Marketing, Viết Kịch Bản, Copywriter",Hồ Chí Minh,CÔNG TY CỔ PHẦN ASOFT,100-499 nhân viên,,,,,,
1397264,2D Artist,"Adobe Photoshop, Thiết Kế, Vẽ Tay, ",Hà Nội,CÔNG TY CỔ PHẦN METAMARS,25-99 nhân viên,10,15,,,,
1350067,".Net Developer ( Middle, English)",".NET, English, ",Hà Nội,CÔNG TY TNHH BMBSOFT VIỆT NAM,25-99 nhân viên,,,4,Web-Back,C#,".NET Framework,ASP.NET,.NET MVC,Entity Framework"
1333375,Chuyên Viên Tester,,Hà Nội,CÔNG TY CỔ PHẦN TẬP ĐOÀN THÀNH CÔNG,5000+ nhân viên,,,1,Tester,,
1397012,Sale Admin,"Excel, Tiếng Anh giao tiếp, Sales Admin, Excel, Tiếng Anh giao tiếp, Hỗ Trợ Kinh Doanh",Hồ Chí Minh,Công ty TNHH Thương mại và Dịch vụ TSG,100-499 nhân viên,10,12,,,,
1395777,Customer Service - Line Tiếng Anh - Remote Work,,Hà Nội,Enigma Software,10-24 nhân viên,4,6,,,,
1396988,Photo/Video Editor (Fresher/Junior),"3D Artist, Graphic design, Edit Video, Vẽ 2d",Hà Nội,Công Ty Cổ Phần Đầu Tư Và Phát Triển Công Nghệ Proxglobal,25-99 nhân viên,8,12,,,,
1396656,Lập Trình Viên Flutter (Remote),,Hà Nội,Công ty cổ phần EMSO Việt Nam,10-24 nhân viên,,,2,Mobile,Dart,Flutter
1396876,"Senior DevOps Engineer (AWS, Azure)","AWS, Devops Engineer, Devops, azure",Hồ Chí Minh,TPS Software,100-499 nhân viên,,,2,DevOps,,
986806,2D Digital Drawing Artist,"Designer, Game Artist, Illustrator, UX/UI Design, Graphic design, Adobe Photoshop, Visual Studio, Figma, English, 2D graphics, 2d Game Artist",Hồ Chí Minh,Nexcel Solutions,100-499 nhân viên,,,,,,
1398068,Chuyên Viên Đào Tạo,,Hà Nội,Công ty cổ phần HBLab (Hedspi Brothers Lab),100-499 nhân viên,,,,,,
1358283,Data Analyst,"SQL, Database, Phân tích dữ liệu, ",Hà Nội,TỔNG CÔNG TY CỔ PHẦN BƯU CHÍNH VIETTEL,5000+ nhân viên,15,35,2,DE,,
1382078,Junior Network Engineer,"Tiếng Anh cơ bản, kỹ năng mạng, @Routing, ","Hà Nội, Hồ Chí Minh",Công ty TNHH Beyondnet Vn,10-24 nhân viên,,,1,System,,
236494,Lập Trình Viên .Net,".NET, C#, ",Hà Nội,Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt,25-99 nhân viên,12,20,,Web-Back,"C#,JS",.NET Framework
1398054,Developer (NestJS & ReactJS),,Hồ Chí Minh,TMA Solutions,3000+ nhân viên,12,35,,Web-Full,JS,"NestJS,ReactJS"
1398057,Automation Tester,,Hồ Chí Minh,TMA Solutions,3000+ nhân viên,10,40,,Tester,,
1377715,QA/QC/Tester,,Hà Nội,CÔNG TY TNHH CÔNG NGHỆ ALADIN,25-99 nhân viên,12,20,1,QA,,
1396210,Chuyên Viên Kinh Doanh ERP/MES,"Xây dựng mối quan hệ, Sales Management, Sale B2B, ERP, MES","Hồ Chí Minh, Hà Nội",Công ty Cổ phẩn Công Nghệ ITG,25-99 nhân viên,15,20,,,,
1398230,Nhân Viên Kỹ Thuật Laptop,,Hà Nội,Laptop Đức Tâm,100-499 nhân viên,8,15,,,,
1397440,Manual Tester,"Phát Triển Phần Mềm, Testing, Test Case, test plan, Manual Testing",Hà Nội,CÔNG TY CỔ PHẦN AGGREGATORI CAPACI,25-99 nhân viên,,,1,Tester,,
343890,Fresher C#/.Net,".NET, C#, Java, MVC, SQL, .NET Framework",Hà Nội,FPT Software,10000+ nhân viên,10,15,,Web-Back,C#,.NET Framework
1397394,Flutter Developer,"UI/UX, Lập Trình Flutter, Teamwork, Phát Triển Ứng Dụng",Hà Nội,CÔNG TY CỔ PHẦN AGGREGATORI CAPACI,25-99 nhân viên,,,3,Mobile,Dart,Flutter
1397340,Java Developer,"Java, Lập Trình Hướng Đối Tượng, Java Core, Code, Teamwork, Công Nghệ Thông Tin",Hà Nội,CÔNG TY CỔ PHẦN AGGREGATORI CAPACI,25-99 nhân viên,,,3,Web-Back,Java,SpringBoot
1395652,Nhân Viên Phần Mềm ERP,,Hồ Chí Minh,CÔNG TY TNHH GA LÚP,100-499 nhân viên,8,10,,,,
1397073,Nhân Viên QC,"Tester, QC/QA, Business Analyst, English, Agile Testing",Hồ Chí Minh,Công ty TNHH AEGONA,25-99 nhân viên,,,1,QA,,
1324344,Devops Engineer,,Hà Nội,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG GTEL,100-499 nhân viên,,,3,DevOps,,
1296943,Business Analyst Intern ( Thực Tập Sinh BA),,Hà Nội,Tập Đoàn Novaon,500-1000 nhân viên,,,,BA,,
1396878,Senior UI/UX Designer,"Designer, UX/UI Design, UI, UX, Figma, English, Thiết Kế",Hồ Chí Minh,TPS Software,100-499 nhân viên,,,,,,
